Family group,Family,N samples,N sublineages,Main sublineages [SIT] (%),Africa,Americas,E.Med.,Europe,S.E.Asia,W.Pacific
AFRI,AFRI_1,83,10,6.3.1 [326] (38.6); 6.1.1 [181] (12); 6.2.1 [181] (10.8); 6.2.2 [181] (10.8); 6.2.3 [187] (8.4); 6.3.3 [181] (7.2),0.74,0,0,0.14,0,0
AFRI,AFRI_2,93,5,5.1.1 [331] (26.9); 5.1.1 [319] (23.7); 5.1.1 [2174] (10.8); 5.1.3 [331] (10.8); 5.1.2 [2984] (7.5); 5.1 [331] (6.5); 5.1.2 [320] (6.5); 5.1.4 [330] (6.5),1.13,0,0,0.14,0,0
AFRI,AFRI_3,16,2,5.1 [761] (50); 5.3 [438] (50),0.16,0.03,0,0.01,0,0
Beijing,Beijing,8023,8,2.2.1 [1] (77.7); 2.2.1.1 [1] (8.9); 2.2.2 [1] (5),21.13,14.37,15.36,23.38,46,69.01
BOV,BOV_1,51,7,La1.2.BCG [482] (41.2); La1.8.1 [688] (17.6); La1.7.1 [481] (13.7); La1.7.1 [Orphan] (11.8); La1.2 [482] (5.9),0.06,0,0.65,0.46,0,0
BOV,BOV_2,54,1,La1.8.1 [683] (61.1); La1.8.1 [676] (38.9),0,0.03,0,0.55,0,0
BOV,BOV_3,139,1,La1.8.1 [479] (64.7); La1.8.1 [1158] (35.3),0,4.34,0,0,0,0
Cameroon,Cameroon,181,3,4.6.2.2 [61] (80.1); 4.6.2.2 [838] (8.8),0.57,0,0.65,1.02,0,0.07
CAS,CAS,238,7,3.1.2.2 [486] (17.2); 3 [1789] (15.5); 3 [203] (15.1); 3 [1120] (6.7); 3 [599] (5.5),0.09,0.09,2.61,2.01,0.35,0.02
CAS,CAS1-Delhi,1903,5,3 [26] (56.8); 3 [25] (11.8); 3 [1092] (5.4),2.46,2.9,34.31,10.66,6.84,0.45
CAS,CAS1-Kili,602,1,3.1.1 [21] (97.3),2.44,0.19,3.27,3.95,0,0
CAS,CAS2,99,3,3.1.2.1 [288] (71.7); 3.1.2 [288] (20.2); 3.1.2.1 [2993] (7.1),0.1,0.03,0.98,0.62,0.75,0
EAI,EAI,6,1,1.2.2.2 [Orphan] (100),0,0,0,0.07,0,0
EAI,EAI1-SOM,320,3,1.2.2.2 [48] (55); 1.2.2.1 [806] (12.2); 1.1.1 [48] (8.4),1.87,0,0.33,0.9,3.88,0.22
EAI,EAI2-Manila,440,2,1.2.1.2 [19] (91.4),0,6.09,0.33,0.79,0.93,3.17
EAI,EAI2-nonthaburi,133,1,1.2.1.2 [89] (100),0,0.16,0,0.2,5.5,0.1
EAI,EAI3-IND,303,1,1.1.2 [11] (87.1); 1.1.2 [355] (10.2),0.07,0.34,1.31,1.17,6.89,0.05
EAI,EAI4-VNM,270,2,1.1.1.1 [139] (80); 1.1.1.1 [564] (10),0,0.22,0,0.06,0.35,6.06
EAI,EAI5,450,9,1.1.1 [256] (13.8); 1.1.1 [236] (13.8); 1.1.2 [126] (11.1); 1.1.2 [8] (6.7); 1.2.2.2 [138] (5.8); 1.1.2 [340] (5.3),0.87,0.28,0.65,0.66,12.17,1.57
EAI,EAI6-BGD1,252,6,1.1.3.2 [129] (48.4); 1.1.3.1 [292] (13.5); 1.2.1.1 [726] (7.1); 1.1.3 [1375] (6.7); 1.1.3.3 [591] (6),1.65,0.12,0.33,0.54,2.55,0
